Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Gym Distance,Gym Duration,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
Condominium,1,1.0,691,78389,"$425,000",8524 Via Mallorca UNIT E,LA JOLLA,CA,32.862735,-117.23381,1.8019833734929342,4.6 mi,14 mins,1971,01/30/2019,1615,,,416412,2019-01-31,16841427,https://www.zillow.com/homedetails/8524-Via-Mallorca-UNIT-E-La-Jolla-CA-92037/16841427_zpid/
Condominium,1,1.0,691,89756,"$425,000",8604 Via Mallorca APT I,LA JOLLA,CA,32.863357,-117.233833,1.8192610862252643,4.5 mi,14 mins,1971,01/30/2019,1016,,,416848,2019-01-31,16841374,https://www.zillow.com/homedetails/8604-Via-Mallorca-APT-I-La-Jolla-CA-92037/16841374_zpid/
Condominium,1,1.0,713,70567,"$499,000",6333 La Jolla Blvd UNIT 178,LA JOLLA,CA,32.824666,-117.275667,0.5616393529196531,1.8 mi,7 mins,1970,01/30/2019,-6029,03/16/2015,364000,484591,2019-01-31,16850683,https://www.zillow.com/homedetails/6333-La-Jolla-Blvd-UNIT-178-La-Jolla-CA-92037/16850683_zpid/
Condominium,2,2.0,1204,117096,"$499,000",2610 Torrey Pines Rd APT C22,LA JOLLA,CA,32.852002,-117.247422,0.8451979882350956,1.8 mi,7 mins,1966,01/30/2019,-37446,11/29/1995,135000,463275,2019-01-31,16839467,https://www.zillow.com/homedetails/2610-Torrey-Pines-Rd-APT-C22-La-Jolla-CA-92037/16839467_zpid/
Condominium,2,1.0,1080,97427,"$515,000",8850 Villa La Jolla Dr UNIT 201,LA JOLLA,CA,32.86932,-117.235414,1.9614874045932909,4.2 mi,14 mins,1981,01/30/2019,-8018,08/21/2018,480000,516283,2019-01-31,16835971,https://www.zillow.com/homedetails/8850-Villa-La-Jolla-Dr-UNIT-201-La-Jolla-CA-92037/16835971_zpid/
Townhouse,2,2.0,971,,"$515,000",3148 Via Alicante UNIT A,LA JOLLA,CA,32.861448,-117.234108,1.7504627700495703,4.5 mi,13 mins,1971,01/30/2019,-34838,04/22/2016,425000,534921,2019-01-31,16841515,https://www.zillow.com/homedetails/3148-Via-Alicante-UNIT-A-La-Jolla-CA-92037/16841515_zpid/
Condominium,2,1.0,597,20995,"$535,000",7514 Girard Ave APT B,LA JOLLA,CA,32.841014,-117.273078,0.42978782235812424,0.4 mi,3 mins,1996,01/30/2019,7942,09/19/2018,415000,547158,2019-01-31,69223343,https://www.zillow.com/homedetails/7514-Girard-Ave-APT-B-La-Jolla-CA-92037/69223343_zpid/
Condominium,2,2.0,1017,,"$555,000",8460 Via Mallorca UNIT 237,LA JOLLA,CA,32.860574,-117.23478,1.6918536634426409,4.6 mi,14 mins,1975,01/30/2019,-26913,07/08/2005,490000,560282,2019-01-31,63789967,https://www.zillow.com/homedetails/8460-Via-Mallorca-UNIT-237-La-Jolla-CA-92037/63789967_zpid/
Condominium,2,2.0,1204,117096,"$559,000",2610 Torrey Pines Rd APT C21,LA JOLLA,CA,32.852002,-117.247422,0.8451979882350956,1.8 mi,7 mins,1966,01/30/2019,-7360,08/03/2001,318000,601360,2019-01-31,16839466,https://www.zillow.com/homedetails/2610-Torrey-Pines-Rd-APT-C21-La-Jolla-CA-92037/16839466_zpid/
Condominium,1,1.0,728,,"$598,000",7411 Herschel Ave UNIT 3E,LA JOLLA,CA,32.839788,-117.270742,0.5896155194149472,0.6 mi,4 mins,1990,01/30/2019,-11062,09/01/2015,555000,599091,2019-01-31,61786902,https://www.zillow.com/homedetails/7411-Herschel-Ave-UNIT-3E-La-Jolla-CA-92037/61786902_zpid/
Condominium,2,2.0,1141,43378,"$610,000",8585 Via Mallorca UNIT 11,LA JOLLA,CA,32.861972,-117.232584,1.8460399922947779,4.9 mi,16 mins,1986,01/30/2019,4576,12/06/2018,630000,619165,2019-01-31,16836126,https://www.zillow.com/homedetails/8585-Via-Mallorca-UNIT-11-La-Jolla-CA-92037/16836126_zpid/
Condominium,2,2.0,990,69217,"$615,000",6333 La Jolla Blvd UNIT 277,LA JOLLA,CA,32.824666,-117.275667,0.5616393529196531,1.8 mi,7 mins,1970,01/30/2019,-3555,04/01/2015,430000,584363,2019-01-31,16850707,https://www.zillow.com/homedetails/6333-La-Jolla-Blvd-UNIT-277-La-Jolla-CA-92037/16850707_zpid/
Condominium,1,1.0,741,,"$625,000",935 Genter St UNIT 202,LA JOLLA,CA,32.83699,-117.271815,0.5749209234858489,0.6 mi,4 mins,1990,01/30/2019,-2976,08/01/2003,412000,601924,2019-01-31,61786910,https://www.zillow.com/homedetails/935-Genter-St-UNIT-202-La-Jolla-CA-92037/61786910_zpid/
Townhouse,2,2.0,1137,287496,"$650,000",3390 Via Alicante,LA JOLLA,CA,32.861393,-117.23191,1.8676548811339526,4.7 mi,14 mins,1975,01/30/2019,-5340,,,627737,2019-01-31,16835330,https://www.zillow.com/homedetails/3390-Via-Alicante-La-Jolla-CA-92037/16835330_zpid/
Townhouse,2,2.0,1241,43560,"$652,500",3109 Evening Way UNIT D,LA JOLLA,CA,32.869169,-117.237519,1.8602135866773648,3.9 mi,11 mins,1980,01/30/2019,-230521,09/12/2005,518000,668030,2019-01-31,16835598,https://www.zillow.com/homedetails/3109-Evening-Way-UNIT-D-La-Jolla-CA-92037/16835598_zpid/
Condominium,1,1.0,991,20995,"$665,000",7514 Girard Ave APT 24,LA JOLLA,CA,32.841015,-117.273079,0.42970105170318634,0.4 mi,3 mins,1996,01/30/2019,1673,04/06/2007,525000,677302,2019-01-31,69223338,https://www.zillow.com/homedetails/7514-Girard-Ave-APT-24-La-Jolla-CA-92037/69223338_zpid/
