Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
Condominium,1,1,691,78389,"$449,900 ",8528 Via Mallorca UNIT D,LA JOLLA,CA,32.862527,-117.234311,1.769557933,1972,1/20/2019,20336,6/14/2000,143000,417807,1/21/2019,16841422,https://www.zillow.com/homedetails/8528-Via-Mallorca-UNIT-D-La-Jolla-CA-92037/16841422_zpid/
Condominium,1,1,713,70567,"$499,000 ",6333 La Jolla Blvd UNIT 178,LA JOLLA,CA,32.824666,-117.275667,0.561639353,1970,1/20/2019,-4634,3/16/2015,364000,485854,1/21/2019,16850683,https://www.zillow.com/homedetails/6333-La-Jolla-Blvd-UNIT-178-La-Jolla-CA-92037/16850683_zpid/
Condominium,2,2,1204,117096,"$499,000 ",2610 Torrey Pines Rd APT C22,LA JOLLA,CA,32.852002,-117.247422,0.845197988,1966,1/20/2019,-71185,11/29/1995,135000,465684,1/21/2019,16839467,https://www.zillow.com/homedetails/2610-Torrey-Pines-Rd-APT-C22-La-Jolla-CA-92037/16839467_zpid/
Condominium,2,1,1080,,"$515,000 ",8850 Villa La Jolla Dr UNIT 201,LA JOLLA,CA,32.86932,-117.235414,1.961487405,1981,1/20/2019,-13109,8/21/2018,480000,516482,1/21/2019,16835971,https://www.zillow.com/homedetails/8850-Villa-La-Jolla-Dr-UNIT-201-La-Jolla-CA-92037/16835971_zpid/
Townhouse,2,2,971,,"$525,000 ",3148 Via Alicante UNIT A,LA JOLLA,CA,32.861448,-117.234108,1.75046277,1971,1/20/2019,-5663,4/22/2016,425000,559510,1/21/2019,16841515,https://www.zillow.com/homedetails/3148-Via-Alicante-UNIT-A-La-Jolla-CA-92037/16841515_zpid/
Condominium,2,1,597,20995,"$535,000 ",7514 Girard Ave APT B,LA JOLLA,CA,32.841014,-117.273078,0.429787822,1996,1/20/2019,14472,9/19/2018,415000,544689,1/21/2019,69223343,https://www.zillow.com/homedetails/7514-Girard-Ave-APT-B-La-Jolla-CA-92037/69223343_zpid/
Condominium,2,2,1017,,"$549,500 ",3131 Via Alicante UNIT 202,LA JOLLA,CA,32.86135,-117.234511,1.726260745,1975,1/20/2019,-29428,5/4/2005,440000,567355,1/21/2019,63789858,https://www.zillow.com/homedetails/3131-Via-Alicante-UNIT-202-La-Jolla-CA-92037/63789858_zpid/
Condominium,2,2,1204,117096,"$559,000 ",2610 Torrey Pines Rd APT C21,LA JOLLA,CA,32.852002,-117.247422,0.845197988,1966,1/20/2019,-4573,8/3/2001,318000,604418,1/21/2019,16839466,https://www.zillow.com/homedetails/2610-Torrey-Pines-Rd-APT-C21-La-Jolla-CA-92037/16839466_zpid/
Condominium,2,2,989,135900,"$560,000 ",6455 La Jolla Blvd UNIT 143,LA JOLLA,CA,32.825967,-117.276155,0.473583452,1970,1/20/2019,-5482,5/15/2002,310000,583205,1/21/2019,16850847,https://www.zillow.com/homedetails/6455-La-Jolla-Blvd-UNIT-143-La-Jolla-CA-92037/16850847_zpid/
Condominium,1,1,728,,"$598,000 ",7411 Herschel Ave UNIT 3E,LA JOLLA,CA,32.839788,-117.270742,0.589615519,1990,1/20/2019,-14433,9/1/2015,555000,601326,1/21/2019,61786902,https://www.zillow.com/homedetails/7411-Herschel-Ave-UNIT-3E-La-Jolla-CA-92037/61786902_zpid/
