title,bedrooms,bathrooms,sqft,price,bedrooms 2,price 2,address,city,state,lat,lon,id,date scraped,url
For Rent,0,,,"$1,495+",,,7529 Herschel Ave, La Jolla, CA,32841371,-117271245,1004670908,2019-01-20,"https://www.zillow.com/b/7529-Herschel-Ave-La-Jolla-CA/32.841371,-117.271245_ll/"
Apartment for rent,1,1,500,"$1,645",,,7623 Eads Ave, La Jolla, CA,32842456,-117275489,2095211064,2019-01-20,https://www.zillow.com/homedetails/7623-Eads-Ave-La-Jolla-CA-92037/2095211064_zpid/
Apartment for rent,1,1,500,"$1,645+",,,Casa Linda,,,32842455,-117275353,2091696078,2019-01-20,https://www.zillow.com/homedetails/7621-Eads-Ave-8XH0WQKHV-La-Jolla-CA-92037/2091696078_zpid/
Apartment for rent,Studio,1,350,"$1,650+",,,Elan Beachcomber,,,32854311,-117255349,2091790369,2019-01-20,https://www.zillow.com/homedetails/8115-El-Paseo-Grande-MR1RVGTCG-La-Jolla-CA-92037/2091790369_zpid/
Apartment for rent,Studio,1,--,"$1,695",,,315 Playa Del Sur APT K, La Jolla, CA,32829205,-117278647,2086670158,2019-01-20,https://www.zillow.com/homedetails/315-Playa-Del-Sur-APT-K-La-Jolla-CA-92037/2086670158_zpid/
Apartment for rent,1,1,--,"$1,695",,,7451 La Jolla Blvd APT B, La Jolla, CA,32838571,-117277946,2094266640,2019-01-20,https://www.zillow.com/homedetails/7451-La-Jolla-Blvd-APT-B-La-Jolla-CA-92037/2094266640_zpid/
Village Square,0,,,"$1,723",1,"$1,764+",8683 Via Mallorca, La Jolla, CA,32864953,-117233224,1001482565,2019-01-20,https://www.zillow.com/b/village-square-la-jolla-ca-5XjSbh/
For Rent,1,,,"$1,795",2,"$2,500",3056 Via Alicante, La Jolla, CA,32862855,-117235689,32.862855--117.235689,2019-01-20,"https://www.zillow.com/b/3056-Via-Alicante-LA-JOLLA-CA/32.862855,-117.235689_ll/"
Apartment for rent,1,1,636,"$1,850",,,8340 Via Sonoma, La Jolla, CA,32857189,-117232456,2086505745,2019-01-20,https://www.zillow.com/homedetails/8340-Via-Sonoma-La-Jolla-CA-92037/2086505745_zpid/
Condo for rent,1,1,691,"$1,850",,,8532 Via Mallorca UNIT G, La Jolla, CA,32862735,-117233810,16841414,2019-01-20,https://www.zillow.com/homedetails/8532-Via-Mallorca-UNIT-G-La-Jolla-CA-92037/16841414_zpid/
For Rent,1,,,"$1,850+",,,8537 Villa La Jolla Dr, La Jolla, CA,32862749,-117234888,1001662784,2019-01-20,https://www.zillow.com/b/8537-villa-la-jolla-dr-la-jolla-ca-5Xkzfd/
For Rent,1,,,"$1,920+",,,8666 Via Mallorca, La Jolla, CA,32863357,-117233833,32.863357--117.233833,2019-01-20,"https://www.zillow.com/b/8666-Via-Mallorca-LA-JOLLA-CA/32.863357,-117.233833_ll/"
Apartment for rent,1,1,700,"$1,950",,,8545 Villa La Jolla Dr APT B, La Jolla, CA,32863991,-117235124,16841644,2019-01-20,https://www.zillow.com/homedetails/8545-Villa-La-Jolla-Dr-APT-B-La-Jolla-CA-92037/16841644_zpid/
Apartment for rent,1,1,848,"$2,000",,,2600 Torrey Pines Rd, La Jolla, CA,32852002,-117247423,2105328693,2019-01-20,https://www.zillow.com/homedetails/2600-Torrey-Pines-Rd-La-Jolla-CA-92037/2105328693_zpid/
Solazzo Apartments Homes,1,,,"$2,020+",2,"$2,680+",8506 Villa La Jolla Dr, La Jolla, CA,32865872,-117235775,1001554478,2019-01-20,https://www.zillow.com/b/solazzo-apartments-homes-la-jolla-ca-5Xk5YK/
Apartment for rent,1,1,700,"$2,050",,,6662 Electric Ave, La Jolla, CA,32828704,-117276364,2103655239,2019-01-20,https://www.zillow.com/homedetails/6662-Electric-Ave-La-Jolla-CA-92037/2103655239_zpid/
For Rent,1,,,"$2,250",2,"$2,500",860 Turquoise St, San Diego, CA,32809137,-117258185,32.809137--117.258185,2019-01-20,"https://www.zillow.com/b/860-Turquoise-St-SAN-DIEGO-CA/32.809137,-117.258185_ll/"
Townhouse for rent,1,1,"1,061","$2,295",,,8668 Villa La Jolla Dr, La Jolla, CA,32866827,-117234647,2086506344,2019-01-20,https://www.zillow.com/homedetails/8668-Villa-La-Jolla-Dr-La-Jolla-CA-92037/2086506344_zpid/
Apartment for rent,1,1,756,"$2,300",,,2368 Torrey Pines Rd UNIT 66, La Jolla, CA,32850990,-117252211,16839349,2019-01-20,https://www.zillow.com/homedetails/2368-Torrey-Pines-Rd-UNIT-66-La-Jolla-CA-92037/16839349_zpid/
For Rent,1,,,"$2,300",2,"$3,250",2360 Torrey Pines Rd, La Jolla, CA,32851017,-117252661,32.851017--117.252661,2019-01-20,"https://www.zillow.com/b/2360-Torrey-Pines-Rd-La-Jolla-CA/32.851017,-117.252661_ll/"
Apartment for rent,2,3,"1,205","$2,400",,,8292 Gilman Dr UNIT 51, La Jolla, CA,32855753,-117237866,16840298,2019-01-20,https://www.zillow.com/homedetails/8292-Gilman-Dr-UNIT-51-La-Jolla-CA-92037/16840298_zpid/
Condo for rent,2,2.5,"1,100","$2,400",,,8463 Via Mallorca, La Jolla, CA,32860065,-117233937,2098001767,2019-01-20,https://www.zillow.com/homedetails/8463-Via-Mallorca-La-Jolla-CA-92037/2098001767_zpid/
Townhouse for rent,1,1,"1,000","$2,450",,,336 Playa Del Norte APT C, La Jolla, CA,32829904,-117278485,2106300894,2019-01-20,https://www.zillow.com/homedetails/336-Playa-Del-Norte-APT-C-La-Jolla-CA-92037/2106300894_zpid/
Condo for rent,2,2.5,"1,074","$2,495",,,8441 Via Mallorca UNIT 74, La Jolla, CA,32859582,-117234298,16840521,2019-01-20,https://www.zillow.com/homedetails/8441-Via-Mallorca-UNIT-74-La-Jolla-CA-92037/16840521_zpid/
Apartment for rent,2,1,600,"$2,500",,,2255 Vallecitos, La Jolla, CA,32855407,-117254062,2124819711,2019-01-20,https://www.zillow.com/homedetails/2255-Vallecitos-La-Jolla-CA-92037/2124819711_zpid/
Apartment for rent,2,2.5,"1,100","$2,500",,,8446 Via Sonoma, La Jolla, CA,32859443,-117231961,2091827344,2019-01-20,https://www.zillow.com/homedetails/8446-Via-Sonoma-La-Jolla-CA-92037/2091827344_zpid/
